ra,dec,phot_g_mean_mag,bp_rp
335.25658945602083,46.536578344131414,4.5370154,-0.12669802
348.1381289460739,49.40663255425639,4.438951,0.43425322
348.560239862549,50.61786800164459,6.3151226,-0.013911247
359.28513539866657,55.705650545492524,5.4493103,0.6447892
305.0634123939095,39.4031091879808,6.378708,0.06580877
304.37108053829326,42.72205970236979,5.689376,1.7846847
290.98551035944104,43.38804352356306,5.6139517,1.078064
285.36007079270075,46.934403659992824,4.96545,0.26363277
313.3274305123475,45.18166205861022,5.189621,1.1987147
316.6504293946806,47.64839511124905,3.9655983,1.7154131
312.47770846641606,46.66133191456489,6.326469,-0.059002876
315.9487602481302,53.286029862241946,5.6857815,1.1206875
318.6513772739231,56.88340883934308,6.072842,2.108244
307.5835051227598,49.77985291758389,6.3020616,1.1833477
332.8773408078624,59.41443924203745,4.9574842,0.3709116
334.5531022731667,62.80443799843466,5.3917193,1.3803468
322.02058272580456,62.096441553707656,6.4347816,1.1496987
327.0628031664204,65.17071934069814,6.348967,1.4104376
330.0140462755215,65.43276244937879,6.0360274,2.254609
328.8792198546975,65.3208081745791,6.019566,-0.12025404
332.45227851810483,72.34121796602223,4.5459895,1.0873303
346.97450729404824,75.38736050537292,4.2604837,1.0059185
298.98066958686695,58.84587532961797,4.3607206,1.7883098
300.7046485782214,67.87377633217558,4.099271,1.4635909
296.0768545665179,69.33696276213637,5.897845,0.08741093
275.2720330521275,72.73127780355625,3.3877175,0.83912826
325.76621023876135,72.31990782775702,4.891074,1.1909523
333.2201624790718,73.30728805424958,5.8313622,1.1561823
2.0142981957233137,-33.52930949830507,5.3646736,1.2550044
1.7091615828392221,-23.10775046701936,6.094202,0.5283246
7.594268032172014,-23.787621485801964,5.143498,0.18539238
11.36937776735489,-12.881722089785448,5.9973717,0.7936568
3.72723968859906,-9.569605855653021,5.758081,-0.10453987
4.676323038587316,-8.05364062584043,6.307263,0.8331771
21.166515980617454,-15.6605501798346,5.953861,1.1102457
24.408294129158513,-9.403438642410402,6.127653,0.692575
15.12671625125276,-12.195857104795088,6.3352814,3.0176563
32.13252791416199,-6.677949588378185,6.2965083,1.0565548
341.92834544994247,-14.056468372443527,5.6834393,-0.03285885
337.82702362690765,-6.5556344407323195,6.0068626,0.7453251
340.5254163314296,-5.102174041082626,5.04253,2.8752487
334.27706082969223,-5.387082124730406,5.520962,1.0579009
345.3821742552055,-4.711422404620878,5.6779575,1.2028537
347.1711613579036,2.1283463185838603,5.1739836,1.1080146
345.96927615728106,3.8200026269054823,4.4705973,-0.12242508
325.0825462691831,-1.7861153961585388,6.308912,4.4334693
337.20885685655395,-0.020432384386959407,4.4211497,0.47891283
